region,team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
Europe,MOIST ESPORTS,##Joyokami,41,24,58.54,14526,354.29,18,0.44,20,0.49,65,1.59,100,2.44,336,8.2,68,1.66,22,0.54,18,414.86,48.72,110297,2690.17,77383,1887.39,32914,802.78,922,22.49,2858,69.71,26549,647.54,17245,420.61,9304,226.93,204,4.98,801,19.54,1767.99,43.12,2032.65,49.58,14696,358.44,15591,380.27,3272,79.8,1514.55,22958892,559973,7512.27,183.23,6118.21,149.22,2260.31,55.13,8864.68,216.21,5848.18,142.64,1177.9,28.73,345.24,8.42,0.09,3792,92.49,5746.7,140.16,4937.3,120.42,4435.7,108.19,11455.07,279.39,10394.15,253.52,5496.66,134.06,7657.49,186.77,5079.57,123.89,3153.77,76.92,2919.64,2834.78,2997.16,57,1.39,40,0.98
Europe,ONE CHIP ARMY,&Toxiic&,14,4,28.57,3908,279.14,5,0.36,2,0.14,22,1.57,35,2.5,111,7.93,30,2.14,12,0.86,14.29,413.59,46.1,34066,2433.29,20970,1497.86,13096,935.43,248,17.71,1129,80.64,7127,509.07,3332,238,3795,271.07,41,2.93,334,23.86,631.75,45.12,370.38,26.46,3590,256.43,3831,273.64,700,50,1521.29,7391068,527933.44,2343.49,167.39,2038.45,145.6,701.91,50.14,2881.49,205.82,1884.34,134.6,318.04,22.72,129.11,9.22,0.12,1088,77.71,1642.2,117.3,1650.7,117.91,1535.59,109.69,3548.26,253.45,3320.62,237.19,1763.23,125.94,2451.23,175.09,1678.11,119.86,954.54,68.18,2790.32,2668.36,2908.71,15,1.07,14,1
Europe,TEAM LIQUID,AcroniK. &,42,20,47.62,13476,320.86,21,0.5,17,0.4,66,1.57,99,2.36,344,8.19,86,2.05,31,0.74,21.21,428.74,46.72,108700,2588.1,79305,1888.21,29395,699.88,917,21.83,2435,57.98,18571,442.17,11527,274.45,7044,167.71,128,3.05,592,14.1,2121.08,50.5,1598.54,38.06,17620,419.52,12081,287.64,1264,30.1,1567.75,22927058,545882.31,6839.79,162.85,5599.33,133.32,2949.69,70.23,8694.24,207.01,5553.35,132.22,1141.21,27.17,349.15,8.31,0.1,3675,87.5,6174.6,147.01,3981.8,94.8,3884.93,92.5,11503.87,273.9,10184.96,242.5,5203.83,123.9,7600.54,180.97,4824.91,114.88,2963.39,70.56,3055.98,2988.02,3111.71,36,0.86,52,1.24
Europe,TEAM VITALITY,Alpha54,32,14,43.75,12317,384.91,21,0.66,13,0.41,56,1.75,108,3.38,253,7.91,64,2,25,0.78,19.44,439.38,53.02,84766,2648.94,59402,1856.31,25364,792.62,733,22.91,2206,68.94,19004,593.88,11028,344.62,7976,249.25,129,4.03,693,21.66,1190.45,37.2,1850.27,57.82,14606,456.44,14865,464.53,2222,69.44,1633.22,18092584,565393.25,4567.65,142.74,4837.39,151.17,2241.98,70.06,6262.06,195.69,4533.03,141.66,851.93,26.62,256.97,8.03,0.1,2568,80.25,3969.5,124.05,3494.4,109.2,2817.34,88.04,8829.7,275.93,7180.69,224.4,4466.37,139.57,5133.83,160.43,3933.37,122.92,2579.81,80.62,2690.82,2544.05,2818.9,23,0.72,26,0.81
Europe,OXYGEN ESPORTS,Archie,42,32,76.19,19540,465.24,28,0.67,31,0.74,93,2.21,158,3.76,356,8.48,67,1.6,18,0.43,17.72,436.44,50.33,122230,2910.24,88120,2098.1,34110,812.14,1088,25.9,2974,70.81,28691,683.12,17912,426.48,10779,256.64,210,5,923,21.98,1928.07,45.91,1914,45.57,20995,499.88,20808,495.43,3365,80.12,1598.68,25599200,609504.75,6828.15,162.57,6706.92,159.69,3252.74,77.45,9186.96,218.74,6328.41,150.68,1272.38,30.29,299.32,7.13,0.12,2517,59.93,5381.7,128.14,5594.8,133.21,4548.07,108.29,12239.72,291.42,10058.07,239.48,6729.67,160.23,7426.95,176.83,5278.19,125.67,4082.62,97.21,2810.01,2718.43,2892.35,54,1.29,45,1.07
Europe,GAMERS FIRST,AtomiK,41,22,53.66,19759,481.93,41,1,20,0.49,78,1.9,167,4.07,368,8.98,75,1.83,30,0.73,24.55,413.13,50.78,106894,2607.17,72132,1759.32,34762,847.85,908,22.15,2994,73.02,24850,606.1,14721,359.05,10129,247.05,175,4.27,875,21.34,1284.72,31.33,1738.48,42.4,14008,341.66,19213,468.61,2770,67.56,1612.08,24071958,587120.94,6272.77,152.99,6552.84,159.83,2853.91,69.61,7799.81,190.24,6620.31,161.47,1259.41,30.72,322.44,7.86,0.12,2775,67.68,4801.2,117.1,5411.1,131.98,4297.48,104.82,11382.08,277.61,10217.33,249.2,5462.21,133.22,7467.49,182.13,5088.35,124.11,3123.72,76.19,2664.1,2517.73,2802.08,38,0.93,44,1.07
Europe,TEAM LIQUID,Atow. X&,42,20,47.62,16257,387.07,23,0.55,26,0.62,71,1.69,141,3.36,344,8.19,86,2.05,27,0.64,16.31,443.74,49.29,112729,2684.02,72839,1734.26,39890,949.76,883,21.02,3500,83.33,31254,744.14,18332,436.48,12922,307.67,213,5.07,1133,26.98,1793.78,42.71,1397.05,33.26,18208,433.52,16393,390.31,3025,72.02,1627.28,23800424,566676.75,5930.85,141.21,6628.01,157.81,2835.46,67.51,8098.52,192.82,5953.67,141.75,1342.17,31.96,305.74,7.28,0.09,3288,78.29,4494,107,5415.6,128.94,4821.45,114.8,10572.87,251.74,9139.55,217.61,6254.78,148.92,6391.6,152.18,5248.02,124.95,3754.79,89.4,2759.9,2622.49,2898.41,29,0.69,51,1.21
Europe,MOIST ESPORTS,AztraL,41,24,58.54,17001,414.66,27,0.66,23,0.56,79,1.93,102,2.49,336,8.2,68,1.66,23,0.56,26.47,399.79,46.81,105497,2573.1,70155,1711.1,35342,862,854,20.83,3039,74.12,21326,520.15,11444,279.12,9882,241.02,131,3.2,857,20.9,2202.54,53.72,1921.94,46.88,12363,301.54,15949,389,1927,47,1586.62,24006730,585530,6702.18,163.47,6544.74,159.63,2605.16,63.54,8491.59,207.11,6072.69,148.11,1287.79,31.41,414.73,10.12,0.12,3525,85.98,5645.1,137.69,4612,112.49,4032.49,98.35,11819.55,288.28,10255.48,250.13,5596.49,136.5,7478.89,182.41,5253.07,128.12,3120.14,76.1,2657.14,2559.17,2751.1,44,1.07,53,1.29
Europe,WILLIAMS RESOLVE,Breezi,47,21,44.68,18803,400.06,33,0.7,22,0.47,90,1.91,145,3.09,422,8.98,100,2.13,33,0.7,22.76,387.67,45.51,108111,2300.23,68129,1449.55,39982,850.68,797,16.96,3403,72.4,22715,483.3,11664,248.17,11051,235.13,132,2.81,922,19.62,2029.99,43.19,1448.88,30.83,11726,249.49,11596,246.72,1468,31.23,1528.34,24597068,523341.88,7708.92,164.02,6837.57,145.48,2425.7,51.61,8778.25,186.77,6976.81,148.44,1217.15,25.9,309.77,6.59,0.1,2977,63.34,5617.9,119.53,5382.9,114.53,4585.15,97.56,12386.99,263.55,11212.94,238.57,5759.2,122.54,8166.55,173.76,5503.53,117.1,3302.11,70.26,2905.11,2772.9,3025.49,44,0.94,24,0.51
Europe,EVIL GENIUSES,Catalysm,28,16,57.14,10623,379.39,15,0.54,15,0.54,49,1.75,77,2.75,240,8.57,45,1.61,12,0.43,19.48,387.43,50.59,71471,2552.54,47200,1685.71,24271,866.82,568,20.29,2095,74.82,13363,477.25,6935,247.68,6428,229.57,80,2.86,555,19.82,1401.39,50.05,796.02,28.43,7639,272.82,9632,344,1059,37.82,1522.42,16190724,578240.12,5082.41,181.51,4472.6,159.74,1560.45,55.73,5956,212.71,4445.86,158.78,713.68,25.49,270.15,9.65,0.08,3434,122.64,3809,136.04,3431.5,122.55,2724.06,97.29,8391.42,299.69,7164.84,255.89,3950.65,141.09,5237.21,187.04,3661.56,130.77,2216.77,79.17,2904.39,2855.72,2961.54,29,1.04,23,0.82
