region,team name,games,wins,win percentage,score per game,goals per game,assists per game,saves per game,shots per game,shots conceded per game,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected per game,amount collected big pads per game,amount collected small pads per game,count collected big pads per game,count collected small pads per game,amount stolen per game,amount stolen big pads per game,amount stolen small pads per game,count stolen big pads per game,count stolen small pads per game,0 boost time per game,100 boost time per game,amount used while supersonic per game,amount overfill total per game,amount overfill stolen per game,total distance per game,time slow speed per game,time boost speed per game,time supersonic speed per game,time on ground per game,time low in air per game,time high in air per game,time powerslide per game,count powerslide per game,time behind ball per game,time in front of ball per game,time defensive half per game,time offensive half per game,time defensive third per game,time neutral third per game,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted per game,demos taken per game
Europe,OXYGEN ESPORTS,42,32,76.19,1288.4,2.36,1.9,5.29,11.12,8.48,1.6,21.2,1250.21,145.31,8275.64,5554.86,2720.79,66.5,234.88,1956.88,1104.48,852.4,13.02,72.62,158.5,110.55,1200.6,1115.05,202.19,1800441.5,512.37,485.92,201.85,661.82,450.37,87.95,26.29,229.67,887.09,313.06,740.32,459.83,529.6,404.72,265.83,8500.88,8205.21,8766.76,3.21,2.98
Europe,KARMINE CORP,51,32,62.75,1134.37,2.27,1.73,4.45,8.9,7.18,1.47,25.55,1258.2,145.1,7525.92,5315.45,2210.47,63.27,188.67,1655.39,965.31,690.08,11.39,57.73,142.91,118.13,989.98,1046.73,185.41,1595602.5,474.31,415.47,184.76,574.85,424.13,75.56,23.41,203.04,786.98,287.56,664.46,410.07,475.53,364.63,234.38,8283.41,8006.27,8541.24,2.47,2.71
Europe,MOIST ESPORTS,41,24,58.54,1167,2.07,1.59,4.95,8.24,8.2,1.66,25.15,1272.17,142.99,8177.61,5619.66,2557.95,67.8,221.27,1863.78,1082.93,780.85,12.68,67.2,142.12,139.85,1305.63,1211.44,198.95,1730845.25,511.08,466.71,183.74,656.44,418.38,86.69,26.93,261.83,831.94,329.58,738.55,422.97,535.95,382.45,243.11,8319.61,8035.73,8577.76,3.41,3.39
Europe,EVIL GENIUSES,28,16,57.14,1185.39,1.89,1.54,5.21,8.93,8.57,1.61,21.2,1275.75,147.13,8276.04,5743.57,2532.46,69,216.64,1747.86,1007.61,740.25,11.64,61.71,152.22,117.37,1046.21,1181.82,157.54,1767349.62,520.77,475.4,192.5,636.87,471.76,80.04,29.39,293.43,879.38,309.29,764.54,424.13,558.3,384.4,245.96,8625.93,8358.04,8877.75,3.39,3.11
Europe,TEAM BDS,42,23,54.76,1230.67,1.86,1.55,5.67,9.57,8.76,1.83,19.4,1187.93,153.55,7914.07,5322.88,2591.19,63.69,224.81,1818.36,1018.79,799.57,12.14,69.19,115.12,131.31,1040.57,1058.81,198.86,1737968.75,553.04,467.4,170.3,676.97,425.46,88.32,22.25,189.36,886.36,304.39,742.85,447.89,545.43,387.87,257.45,8153.52,7795.4,8471.98,3.05,3.83
Europe,GAMERS FIRST,41,22,53.66,1208.51,1.9,1.54,5.59,8.46,8.98,1.83,22.48,1246.78,142.8,7825.73,5315.12,2510.61,63.17,216.12,1736.85,1029.93,706.93,12.1,60.59,143.67,97.69,1015.15,1003.63,175.54,1708953.5,498.71,455.82,193.61,606.85,460.91,80.38,25.74,238.59,841.58,306.56,758.27,389.87,565.61,361.38,221.15,8198.32,7892.02,8468.95,3.32,2.95
Europe,TOP BLOKES,53,28,52.83,1098.85,1.91,1.47,4.89,7.85,7.85,1.89,24.28,1145.3,137.2,6953.19,4561.74,2391.45,53.57,208.19,1515.08,786.32,728.75,9.13,63.02,145.53,129.09,786.3,820.83,128.94,1544354.25,538.35,412.16,140.68,618.41,399.25,73.53,24.91,216.3,789.49,301.7,705.24,385.95,512.05,363.17,215.98,8778.38,8535.87,9005.11,2.6,4.09
Europe,SOLARY,52,27,51.92,1141.13,1.73,1.31,5.73,7.85,8.9,1.69,22.06,1158.54,147.05,7009.52,4624.4,2385.12,57.33,209.96,1334.94,728.33,606.62,8.6,52.75,100.97,81.42,880.19,1107.94,132.35,1606945.5,495.88,441.06,158.92,602.27,426.34,67.25,28.97,284.06,828.88,266.98,750.96,344.9,565.95,339.81,190.11,8284.5,7955.58,8553.79,2.42,3.62
Europe,AOGIRI,42,21,50,1233.1,2.17,1.5,6.1,8.31,9.95,2.21,26.07,1255.74,143.11,7995.79,5530.83,2464.95,65.57,211.26,1730.05,993.02,737.02,11.71,62.79,150.22,107.54,1102.31,1039.43,174.83,1673769.88,530.04,455.85,170.63,631.02,446.49,79.01,25.6,229.38,839.46,317.06,751.09,405.43,562.13,356.57,237.83,8198.93,7819.95,8513.21,3.74,3.12
Europe,MONKEYS,40,20,50,1169.07,2.12,1.75,5.07,8.88,8.25,2.05,23.94,1238.05,141.48,7534.48,5233.45,2301.02,61.9,197.7,1682.57,992.12,690.45,11.45,59.55,129.79,140.7,1027.18,994.9,161.38,1610279,497.68,442.36,161.73,616.45,400.01,85.3,19.96,186.05,798,303.76,700.38,401.38,511.48,357.06,233.23,8437.75,8136.58,8726.5,3.3,3.75
Europe,QUADRANT,70,35,50,1087.69,1.74,1.34,4.73,8.66,7.6,1.61,20.13,1189.93,150.34,7150.56,5094.91,2055.64,63.71,178.59,1614,1012.66,601.34,11.83,51,126.6,131.91,904.64,1309.83,172.44,1600607.38,478.52,447.59,156.58,609.32,392.57,80.79,22.58,243.8,791.62,291.07,694.46,388.22,501.93,357.72,223.04,9112.81,8797.4,9403.21,2.96,3.3
Europe,SONIQS,58,28,48.28,1080.86,1.69,1.29,4.88,7.9,8.05,1.76,21.4,1207.57,158.78,7446.9,5156.71,2290.19,64.62,201.91,1771.47,1087.1,684.36,13.24,59.16,107.63,125.8,984.6,1349.48,245.1,1621218.12,491.29,441.8,169.11,609.69,412.34,80.17,19.87,221.62,793.79,308.41,713.2,388.99,522.52,357.49,222.2,8567.53,8232.34,8864.43,2.81,3.14
Europe,OLD FARTS,23,11,47.83,1181.74,2.22,2.04,4.48,9.13,8.39,2.17,24.29,1148.35,146.23,7237.09,4583.3,2653.78,57.61,224.83,1716,906.96,809.04,11.13,68.87,113.11,119.27,791.61,1173.96,198.83,1613771.62,536.67,452.34,137.64,648.11,406.35,72.19,38.41,326.39,801.24,325.41,717.35,409.3,521.89,363.92,240.83,8551.52,8241.83,8828.35,2.39,3.65
Europe,TEAM LIQUID,42,20,47.62,1081.81,1.83,1.45,4.64,9.05,8.19,2.05,20.26,1371.29,142.97,8265.57,5773.19,2492.38,67.48,213.1,1866.21,1114.17,752.05,12.79,64.33,152.59,105.16,1349.5,993.19,164.62,1695973.5,434.01,437.68,227.42,584.63,426.61,87.88,24.02,243.76,777.81,321.3,680.52,418.58,489.54,364.06,245.51,8594.52,8212.86,8959.48,2.24,3.67
