region,team name,games,wins,win percentage,score per game,goals per game,assists per game,saves per game,shots per game,shots conceded per game,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected per game,amount collected big pads per game,amount collected small pads per game,count collected big pads per game,count collected small pads per game,amount stolen per game,amount stolen big pads per game,amount stolen small pads per game,count stolen big pads per game,count stolen small pads per game,0 boost time per game,100 boost time per game,amount used while supersonic per game,amount overfill total per game,amount overfill stolen per game,total distance per game,time slow speed per game,time boost speed per game,time supersonic speed per game,time on ground per game,time low in air per game,time high in air per game,time powerslide per game,count powerslide per game,time behind ball per game,time in front of ball per game,time defensive half per game,time offensive half per game,time defensive third per game,time neutral third per game,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted per game,demos taken per game
North America,SPACESTATION,30,23,76.67,1152.1,2.27,1.8,4.47,9.07,7.1,1.5,25,1293.23,148.2,7824.53,5554.83,2269.7,66.83,196.4,1876.9,1154.97,721.93,13.5,62.27,147.94,123.72,1376.37,1168.63,197.77,1650762.88,454.41,431.15,205.29,601.96,409.83,79.05,25.45,247.83,796.49,294.36,683.28,407.57,495.61,355.4,239.84,8557.3,8232.27,8876.3,4.53,3.5
Europe,OXYGEN ESPORTS,42,32,76.19,1288.4,2.36,1.9,5.29,11.12,8.48,1.6,21.2,1250.21,145.31,8275.64,5554.86,2720.79,66.5,234.88,1956.88,1104.48,852.4,13.02,72.62,158.5,110.55,1200.6,1115.05,202.19,1800441.5,512.37,485.92,201.85,661.82,450.37,87.95,26.29,229.67,887.09,313.06,740.32,459.83,529.6,404.72,265.83,8500.88,8205.21,8766.76,3.21,2.98
North America,G2 ESPORTS,36,25,69.44,1129.28,2.39,1.78,3.75,10.17,6.67,1.69,23.5,1241.19,152.17,7542.28,5251.36,2290.92,64.69,198.14,2089.97,1262.67,827.31,15.44,71.67,114.77,128.02,1081.69,1266.67,292.56,1676902.25,448.8,445.35,203.72,601.93,422.56,73.39,25.43,254.25,798.25,299.62,652.53,445.35,464.36,367.65,265.88,8576.92,8232.36,8949.31,4.39,3.11
North America,FAZE CLAN,51,33,64.71,1252.37,2.67,2.22,4.88,9.51,7.82,1.76,28.04,1304.1,147.57,7810,5541.67,2268.33,67.33,192.82,1877.76,1162.8,714.96,13.98,60.61,139.24,133.55,1290.02,1233.31,248.31,1633238.12,446.83,430.86,203.39,598.31,408.49,74.29,22.78,210.76,787.42,293.66,682.23,398.86,503.71,343.58,233.79,8584.12,8214.24,8954.78,3.88,3.51
Europe,KARMINE CORP,51,32,62.75,1134.37,2.27,1.73,4.45,8.9,7.18,1.47,25.55,1258.2,145.1,7525.92,5315.45,2210.47,63.27,188.67,1655.39,965.31,690.08,11.39,57.73,142.91,118.13,989.98,1046.73,185.41,1595602.5,474.31,415.47,184.76,574.85,424.13,75.56,23.41,203.04,786.98,287.56,664.46,410.07,475.53,364.63,234.38,8283.41,8006.27,8541.24,2.47,2.71
North America,REBELLION,35,21,60,1061.43,1.71,1.26,4.69,8.17,7.8,1.49,20.98,1265.69,149.98,7437.37,5064.94,2372.43,63.31,207.51,1754.11,1026.83,727.29,12.46,63.17,105.12,115.9,1151.74,1299.46,226.86,1610181.25,438.01,431.42,187.94,597.96,386.98,72.43,25.69,255.09,768.22,289.16,659.23,398.14,476.78,349.16,231.44,9020.29,8649.89,9335.83,3.2,3.77
North America,GENGMOBIL1,58,34,58.62,1100.71,2.1,1.81,4.34,9.34,7.19,1.62,22.51,1247.31,152.76,7337.97,5182.07,2155.9,62.97,187.07,1600.19,948.59,651.6,11.45,56.31,116.5,130.57,1065.9,1155.38,197.31,1565287,471.73,420.68,169.25,582.32,404.13,75.22,20.8,206.29,772.96,288.71,668.17,393.49,482.65,350.99,228.03,8654.6,8285,9002.19,3.43,3.71
Europe,MOIST ESPORTS,41,24,58.54,1167,2.07,1.59,4.95,8.24,8.2,1.66,25.15,1272.17,142.99,8177.61,5619.66,2557.95,67.8,221.27,1863.78,1082.93,780.85,12.68,67.2,142.12,139.85,1305.63,1211.44,198.95,1730845.25,511.08,466.71,183.74,656.44,418.38,86.69,26.93,261.83,831.94,329.58,738.55,422.97,535.95,382.45,243.11,8319.61,8035.73,8577.76,3.41,3.39
Europe,EVIL GENIUSES,28,16,57.14,1185.39,1.89,1.54,5.21,8.93,8.57,1.61,21.2,1275.75,147.13,8276.04,5743.57,2532.46,69,216.64,1747.86,1007.61,740.25,11.64,61.71,152.22,117.37,1046.21,1181.82,157.54,1767349.62,520.77,475.4,192.5,636.87,471.76,80.04,29.39,293.43,879.38,309.29,764.54,424.13,558.3,384.4,245.96,8625.93,8358.04,8877.75,3.39,3.11
North America,COMPLEXITY,40,22,55,1164.35,2.35,1.95,4.4,9,7.35,1.7,26.11,1226.97,151.84,7751.48,5412,2339.48,68.12,204.9,1789.32,1066,723.33,12.98,62.7,115.16,141.95,1113.15,1432.05,245.12,1674128.12,512.03,439.31,184.05,631.36,418.9,85.13,22.99,191.73,827.56,307.82,711.7,423.69,516.1,379.04,240.24,8569.75,8265.53,8873.25,3.28,3.17
