region,team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
North America,KNIGHTS,".ZPS""!",36,17,47.22,13970,388.06,27,0.75,19,0.53,65,1.81,116,3.22,336,9.33,72,2,26,0.72,23.28,419.93,49.02,91764,2549,62066,1724.06,29698,824.94,766,21.28,2621,72.81,20422,567.28,11316,314.33,9106,252.94,136,3.78,773,21.47,1198.12,33.28,1418.77,39.41,16249,451.36,14745,409.58,2423,67.31,1565.61,19691274,546979.81,5922.46,164.51,4648.79,129.13,2665.16,74.03,7403.75,205.66,5070.37,140.84,762.25,21.17,304.11,8.45,0.09,3339,92.75,4740.7,131.69,4025.1,111.81,3328.61,92.46,9907.77,275.22,8831.7,245.32,4404.69,122.35,6448.59,179.13,4376.25,121.56,2411.57,66.99,2987.46,2902.54,3062.49,37,1.03,48,1.33
North America,SOL,.druee,38,17,44.74,13164,346.42,15,0.39,15,0.39,79,2.08,89,2.34,359,9.45,72,1.89,24,0.63,16.85,427.05,44.21,98494,2591.95,63146,1661.74,35348,930.21,771,20.29,2909,76.55,23296,613.05,12567,330.71,10729,282.34,159,4.18,911,23.97,1916.91,50.44,1032.03,27.16,20911,550.29,13647,359.13,3048,80.21,1549.6,20816116,547792.5,6183.05,162.71,5561.36,146.35,2349.94,61.84,8605.39,226.46,4857.37,127.83,631.55,16.62,304.97,8.03,0.11,2798,73.63,4377.3,115.19,4785.3,125.93,4145.41,109.09,9948.89,261.81,9184.49,241.7,4909.78,129.2,6883.68,181.15,4347,114.39,2863.69,75.36,2693.54,2600.17,2771.08,68,1.79,62,1.63
North America,REBELLION,2Piece,35,21,60,12936,369.6,19,0.54,15,0.43,69,1.97,86,2.46,273,7.8,52,1.49,22,0.63,22.09,465.97,49.44,95609,2731.69,66158,1890.23,29451,841.46,791,22.6,2618,74.8,18187,519.63,10396,297.03,7791,222.6,118,3.37,690,19.71,1544.2,44.12,1401.78,40.05,13448,384.23,13485,385.29,1509,43.11,1618.99,19121162,546318.94,4977.91,142.23,4723.26,134.95,2662.76,76.08,6657.94,190.23,4881.18,139.46,824.79,23.57,390.46,11.16,0.11,3609,103.11,4510.1,128.86,3677.1,105.06,3060.4,87.44,9303.54,265.82,8079.61,230.85,4284.31,122.41,5806.9,165.91,4279.91,122.28,2277.09,65.06,3035.49,2902.17,3151.72,17,0.49,35,1
North America,LIL STEP BROS,AlphaKep,15,5,33.33,4365,291,5,0.33,3,0.2,25,1.67,33,2.2,120,8,22,1.47,11,0.73,15.15,392.59,52.41,35277,2351.8,24231,1615.4,11046,736.4,298,19.87,970,64.67,9091,606.07,5952,396.8,3139,209.27,68,4.53,285,19,482.21,32.15,584.51,38.97,5742,382.8,5755,383.67,856,57.07,1510.46,7816382,521092.12,2501.17,166.74,2178.85,145.26,691.69,46.11,3314.01,220.93,1802.47,120.16,255.25,17.02,148.45,9.9,0.11,1315,87.67,1726.6,115.11,1749.1,116.61,1521.38,101.43,3850.35,256.69,3499.61,233.31,1872.09,124.81,2564.18,170.95,1718.65,114.58,1088.9,72.59,2974.87,2952.98,3001.93,11,0.73,17,1.13
North America,DIGNITAS,Andy,36,16,44.44,14480,402.22,28,0.78,19,0.53,62,1.72,94,2.61,317,8.81,88,2.44,22,0.61,29.79,392.37,52.92,87273,2424.25,60754,1687.61,26519,736.64,756,21,2314,64.28,21851,606.97,13411,372.53,8440,234.44,162,4.5,732,20.33,1316.75,36.58,1067.02,29.64,8637,239.92,14984,416.22,2884,80.11,1577.6,19548870,543024.19,5450.41,151.4,5863.29,162.87,1807.46,50.21,7062.61,196.18,5164.7,143.46,893.82,24.83,275.15,7.64,0.09,3008,83.56,3950.6,109.74,4705.2,130.7,3829.79,106.38,9291.31,258.09,8518.26,236.62,4602.83,127.86,6309.3,175.26,4034.22,112.06,2777.63,77.16,2883.32,2694.21,3051.73,34,0.94,43,1.19
North America,GENGMOBIL1,ApparentlyJack,58,34,58.62,22052,380.21,47,0.81,38,0.66,75,1.29,201,3.47,417,7.19,94,1.62,25,0.43,23.38,403.51,52.34,138826,2393.55,91749,1581.88,47077,811.67,1163,20.05,4179,72.05,35624,614.21,20352,350.9,15272,263.31,255,4.4,1337,23.05,1960.54,33.8,2317.33,39.95,20138,347.21,25893,446.43,5393,92.98,1577.25,30780588,530699.81,8729.51,150.51,8170.77,140.88,3657.54,63.06,11259.57,194.13,7917.41,136.51,1380.84,23.81,376.26,6.49,0.09,3949,68.09,6160.3,106.21,7155.8,123.38,5850.55,100.87,14707.33,253.57,12513.05,215.74,8044.75,138.7,9008.3,155.32,6729.59,116.03,4819.99,83.1,2787.66,2629.87,2935.93,53,0.91,63,1.09
North America,ROGUE,Aqua,27,12,44.44,10729,397.37,16,0.59,16,0.59,50,1.85,80,2.96,278,10.3,67,2.48,17,0.63,20,450.21,50.13,74555,2761.3,51123,1893.44,23432,867.85,622,23.04,2070,76.67,16880,625.19,9479,351.07,7401,274.11,109,4.04,662,24.52,1004.98,37.22,1227.72,45.47,10915,404.26,11703,433.44,1507,55.81,1659.86,15689665,581098.69,3649.49,135.17,4068.47,150.68,2250.39,83.35,4997.04,185.08,4199.96,155.55,771.36,28.57,206.27,7.64,0.12,1739,64.41,2963.1,109.74,3623.8,134.21,3183.98,117.93,6784.37,251.27,6246.27,231.34,3722.09,137.86,4559.71,168.88,3207.95,118.81,2200.71,81.51,2633.85,2472.59,2778.61,19,0.7,28,1.04
North America,SPACESTATION,Arsenal,30,23,76.67,9057,301.9,19,0.63,16,0.53,31,1.03,78,2.6,213,7.1,45,1.5,10,0.33,24.36,465.84,49.08,85175,2839.17,62177,2072.57,22998,766.6,741,24.7,1998,66.6,21447,714.9,13499,449.97,7948,264.93,161,5.37,698,23.27,1590.26,53.01,1207.85,40.26,17074,569.13,12140,404.67,2717,90.57,1607.63,16650640,555021.31,4395.77,146.53,4272.6,142.42,2235.82,74.53,5984.66,199.49,4205.45,140.18,714.09,23.8,299.47,9.98,0.1,2856,95.2,2985.4,99.51,4200.5,140.02,3456.14,115.2,7448.01,248.27,6450.27,215.01,4453.95,148.47,4580.97,152.7,3601.8,120.06,2721.42,90.71,2838.01,2719.68,2938.49,56,1.87,36,1.2
North America,G2 ESPORTS,Atomic,36,25,69.44,14436,401,27,0.75,24,0.67,54,1.5,117,3.25,240,6.67,61,1.69,26,0.72,23.08,450.74,49.98,97844,2717.89,70216,1950.44,27628,767.44,858,23.83,2426,67.39,27172,754.78,17160,476.67,10012,278.11,210,5.83,877,24.36,1465.83,40.72,1444.58,40.13,18671,518.64,16124,447.89,3956,109.89,1661.6,20785366,577371.25,4942.5,137.29,5327.69,147.99,2919.54,81.1,7177.96,199.39,5016.98,139.36,994.81,27.63,262.98,7.3,0.12,2157,59.92,4317.1,119.92,4442.7,123.41,3690.84,102.52,9498.92,263.86,7800.13,216.67,5389.62,149.71,5580.62,155.02,4325.66,120.16,3283.47,91.21,2833.41,2713.12,2958.02,70,1.94,33,0.92
North America,VERSION1,BeastMode,40,22,55,18646,466.15,37,0.93,18,0.45,74,1.85,144,3.6,281,7.03,66,1.65,23,0.57,25.69,434.94,49.37,103201,2580.02,72790,1819.75,30411,760.28,882,22.05,2638,65.95,24583,614.58,16189,404.73,8394,209.85,187,4.68,736,18.4,1657.17,41.43,1691.37,42.28,13613,340.33,15852,396.3,2619,65.47,1562.29,21490470,537261.75,6250.04,156.25,5735.6,143.39,2464.01,61.6,7600.76,190.02,5601.35,140.03,1247.48,31.19,274.62,6.87,0.11,2508,62.7,4527.3,113.18,4844.9,121.12,3793.51,94.84,10656.17,266.4,9263.18,231.58,5186.48,129.66,6859.04,171.48,4428.62,110.72,3161.98,79.05,2660.83,2495.81,2829.89,37,0.93,38,0.95
