region,team name,games,wins,win percentage,score per game,goals per game,assists per game,saves per game,shots per game,shots conceded per game,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected per game,amount collected big pads per game,amount collected small pads per game,count collected big pads per game,count collected small pads per game,amount stolen per game,amount stolen big pads per game,amount stolen small pads per game,count stolen big pads per game,count stolen small pads per game,0 boost time per game,100 boost time per game,amount used while supersonic per game,amount overfill total per game,amount overfill stolen per game,total distance per game,time slow speed per game,time boost speed per game,time supersonic speed per game,time on ground per game,time low in air per game,time high in air per game,time powerslide per game,count powerslide per game,time behind ball per game,time in front of ball per game,time defensive half per game,time offensive half per game,time defensive third per game,time neutral third per game,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted per game,demos taken per game
North America,SPACESTATION,30,23,76.67,1152.1,2.27,1.8,4.47,9.07,7.1,1.5,25,1293.23,148.2,7824.53,5554.83,2269.7,66.83,196.4,1876.9,1154.97,721.93,13.5,62.27,147.94,123.72,1376.37,1168.63,197.77,1650762.88,454.41,431.15,205.29,601.96,409.83,79.05,25.45,247.83,796.49,294.36,683.28,407.57,495.61,355.4,239.84,8557.3,8232.27,8876.3,4.53,3.5
North America,G2 ESPORTS,36,25,69.44,1129.28,2.39,1.78,3.75,10.17,6.67,1.69,23.5,1241.19,152.17,7542.28,5251.36,2290.92,64.69,198.14,2089.97,1262.67,827.31,15.44,71.67,114.77,128.02,1081.69,1266.67,292.56,1676902.25,448.8,445.35,203.72,601.93,422.56,73.39,25.43,254.25,798.25,299.62,652.53,445.35,464.36,367.65,265.88,8576.92,8232.36,8949.31,4.39,3.11
North America,FAZE CLAN,51,33,64.71,1252.37,2.67,2.22,4.88,9.51,7.82,1.76,28.04,1304.1,147.57,7810,5541.67,2268.33,67.33,192.82,1877.76,1162.8,714.96,13.98,60.61,139.24,133.55,1290.02,1233.31,248.31,1633238.12,446.83,430.86,203.39,598.31,408.49,74.29,22.78,210.76,787.42,293.66,682.23,398.86,503.71,343.58,233.79,8584.12,8214.24,8954.78,3.88,3.51
North America,REBELLION,35,21,60,1061.43,1.71,1.26,4.69,8.17,7.8,1.49,20.98,1265.69,149.98,7437.37,5064.94,2372.43,63.31,207.51,1754.11,1026.83,727.29,12.46,63.17,105.12,115.9,1151.74,1299.46,226.86,1610181.25,438.01,431.42,187.94,597.96,386.98,72.43,25.69,255.09,768.22,289.16,659.23,398.14,476.78,349.16,231.44,9020.29,8649.89,9335.83,3.2,3.77
North America,GENGMOBIL1,58,34,58.62,1100.71,2.1,1.81,4.34,9.34,7.19,1.62,22.51,1247.31,152.76,7337.97,5182.07,2155.9,62.97,187.07,1600.19,948.59,651.6,11.45,56.31,116.5,130.57,1065.9,1155.38,197.31,1565287,471.73,420.68,169.25,582.32,404.13,75.22,20.8,206.29,772.96,288.71,668.17,393.49,482.65,350.99,228.03,8654.6,8285,9002.19,3.43,3.71
North America,COMPLEXITY,40,22,55,1164.35,2.35,1.95,4.4,9,7.35,1.7,26.11,1226.97,151.84,7751.48,5412,2339.48,68.12,204.9,1789.32,1066,723.33,12.98,62.7,115.16,141.95,1113.15,1432.05,245.12,1674128.12,512.03,439.31,184.05,631.36,418.9,85.13,22.99,191.73,827.56,307.82,711.7,423.69,516.1,379.04,240.24,8569.75,8265.53,8873.25,3.28,3.17
North America,VERSION1,40,22,55,1086.95,1.85,1.42,4.47,7.75,7.03,1.65,23.87,1194.07,141.41,7094.08,4594.6,2499.48,56.05,215.68,1593.6,905.05,688.55,10.85,59.95,114.99,107.18,1089.05,1030.75,181.12,1567730.75,509.82,416.56,157.98,601.79,403.02,79.54,19.67,194.2,798.67,285.68,710.72,373.64,519.56,347.69,217.1,8385.67,8084.85,8697.38,4.3,2.65
North America,NRG ESPORTS,48,26,54.17,1148.67,2,1.69,4.75,9.62,8.54,2.19,20.78,1209.9,152.12,7604.15,5447.52,2156.62,67.04,187.9,1564.21,945.21,619,11.12,53.81,103.51,138.8,1199.25,1299.38,164.02,1686163.5,500.08,437.14,198.89,647.33,409.22,79.56,23.66,251.67,845.64,290.48,737.73,398.38,540.39,367.23,228.49,8823.58,8456.44,9174.31,3.48,3.17
North America,DARKZERO,21,11,52.38,1084.33,1.81,1.33,5.48,7.67,8.38,1.95,23.6,1205.95,143.88,7277,4912.76,2364.24,59.81,204.05,1673.76,953.9,719.86,11.43,63.05,114.11,106.67,972.29,1050.33,178.1,1591068,503.85,420.83,166.6,619.55,400.67,71.04,21.45,188,771.72,319.55,692.08,399.18,506.04,353.52,231.71,8428.14,8045.38,8811.1,4,3.33
North America,FURIA,68,34,50,1182.03,2.21,1.84,4.94,10.04,8.25,2.1,21.96,1171.78,155.55,7229.29,4819.31,2409.99,60.57,215.15,1664.54,916.6,747.94,10.97,65.62,98.98,133.76,813.41,1302.26,189.41,1607797.25,502.1,434.52,166.56,627.12,398.06,77.99,17.76,135.93,790.14,313.03,694.25,408.93,501.34,366.33,235.51,8400.34,8036.12,8762.56,2.29,4.35
North America,TEAM AXLE,56,27,48.21,1122.25,1.91,1.54,5.14,7.95,8.54,1.79,24.04,1233.75,138.78,7491.73,5271.29,2220.45,61.43,189,1712.46,1028.61,683.86,11.93,58.05,162.73,101.19,1118.36,854.14,161.12,1613949.12,518.72,416.27,173.58,617.73,419.37,71.47,25.63,233.36,782.48,326.09,717.8,390.78,529.31,352.92,226.35,8329.7,7990.05,8631.32,3.98,3.41
North America,KNIGHTS,36,17,47.22,1148.69,1.83,1.44,5.69,8.06,9.33,2,22.76,1242.33,149.54,7589.36,5270.72,2318.64,65.25,202.42,1720.14,1026.53,693.61,11.94,59.08,126.83,119.64,1310.89,1272.81,174.75,1647296.5,479.82,427.69,194.54,623.65,408.81,69.59,21.86,226.28,804.77,297.28,718.69,383.36,528.72,355.79,217.54,9062.78,8629.17,9449.72,2.78,4.36
North America,SCUZZ ESPORTS,20,9,45,1054.7,1.6,1.25,5.65,7.1,8.7,1.6,22.54,1207.9,140.66,6901.1,4734.45,2166.65,55.9,185.5,1606.75,963.7,643.05,10.85,54.8,143.09,104.2,1010.75,887,120.3,1491402.75,476.04,407.6,142.22,608.28,349.36,68.22,23.15,258.3,703.02,322.84,662.91,362.95,485.16,327.4,213.3,8477.15,8106.5,8808.05,3.35,2.75
North America,SOL,38,17,44.74,1142.26,1.66,1.16,5.87,7.68,9.45,1.89,21.58,1205.63,141.44,7321,4978,2343,60.74,197.45,1622.55,963.92,658.63,11.63,55.68,131.64,123.49,1034.71,1113.76,199.03,1609583.38,522.73,417.15,175.83,612.35,431.06,72.3,19.57,197.16,799.24,316.47,742.78,372.93,558.33,344.79,212.59,8489.03,8059.34,8858.5,2.97,3.92
